title;realAgent;address;sqm;feature1;feature2;price;link;lon;lat;last_update
Helle, ruhige Dachgeschosswohnung (ohne Schrägen) mit ca. 17 m2 Terrasse auch für WG geeignet, provisionsfrei;Privat;1110 Wien, 11. Bezirk, Simmering, Rappachgasse;63;2 Zimmer;Terrasse;870;/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/helle-ruhige-dachgeschosswohnung-ohne-schraegen-mit-ca-17-m-terrasse-auch-fuer-wg-geeignet-provisionsfrei-637421629/;16,423119;48,176147;21.01.23 02:41
Ruhige 3 Zimmer Wohnung;Privat;1140 Wien, 14. Bezirk, Penzing, Linzerstraße 427;68;3 Zimmer;3 Zimmer;726,11;/iad/immobilien/d/mietwohnungen/wien/wien-1140-penzing/ruhige-3-zimmer-wohnung-637440256/;16,2542889;48,2030418;22.01.23 02:41
3 Zimmer-Wohnung im 3. Bezirk;Privat;1030 Wien, 03. Bezirk, Landstraße;70;3 Zimmer;3 Zimmer;1030;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/3-zimmer-wohnung-im-3-bezirk-635126473/;16,3905024;48,1881739;23.01.23 02:41
1030! Helle Garconniere Nähe U3!;Steindl & Herzel Immobilien OG;1030 Wien, 03. Bezirk, Landstraße;43;1 Zimmer;1 Zimmer;813,1;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/1030-helle-garconniere-naehe-u3-nbsp-625081098/;16,3905024;48,1881739;24.01.23 02:41
1030! Urbane 2-Zimmer Wohnung Nähe U3!;Steindl & Herzel Immobilien OG;1030 Wien, 03. Bezirk, Landstraße;65;2 Zimmer;2 Zimmer;1235,02;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/1030-urbane-2-zimmer-wohnung-naehe-u3-625081075/;16,3905024;48,1881739;25.01.23 02:41
HIMMELSTÜRMER aufgepasst: 30.OG: im HELIO TOWER I 2-Zimmer-Wohnung;Spiegelfeld Immobilien GmbH;1030 Wien, 03. Bezirk, Landstraße;50;2 Zimmer;Balkon, Loggia;1112,08;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/himmelstuermer-aufgepasst-30-og-im-helio-tower-i-2-zimmer-wohnung-627202880/;16,3905024;48,1881739;26.01.23 02:41
PROVISIONSFREI! Helle 2-Zimmer Wohnung nahe The Mall in 1030!;Steindl & Herzel Immobilien OG;1030 Wien, 03. Bezirk, Landstraße;65;2 Zimmer;2 Zimmer;1235,46;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/provisionsfrei-helle-2-zimmer-wohnung-nahe-the-mall-in-1030-625076278/;16,3905024;48,1881739;27.01.23 02:41
Moderne Single- / Pärchenwohnung mitten in Wien;ADVANTA - Immobilienvermittlungs GmbH;1030 Wien, 03. Bezirk, Landstraße;44;1 Zimmer;1 Zimmer;784,77;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/moderne-single-paerchenwohnung-mitten-in-wien-601806350/;16,3905024;48,1881739;28.01.23 02:41
Quartier The Marks - Helio Tower! 39,47 m2 große Wohnung im 29. Stockwerk zu vermieten! Immobilienquartier;Immobilienquartier iQ OG;1030 Wien, 03. Bezirk, Landstraße;39;1 Zimmer;Balkon, Loggia;790;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/quartier-the-marks-helio-tower-39-47-m2-grosse-wohnung-im-29-stockwerk-zu-vermieten-immobilienquartier-637399223/;16,3905024;48,1881739;29.01.23 02:41
*ERSTBEZUG* 2 Zimmer DG-Wohnung -- Nordwest Balkon in Ruhelage - Erstbezug nach Sanierung - Einbauküche;RIWOG Real Estate Management GmbH;1030 Wien, 03. Bezirk, Landstraße;56;2 Zimmer;Balkon;963,58;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/-erstbezug-2-zimmer-dg-wohnung-nordwest-balkon-in-ruhelage-erstbezug-nach-sanierung-einbaukueche-629293061/;16,3905024;48,1881739;30.01.23 02:41
2 Zimmer Neubau-Wohnung *ERSTBEZUG nach Sanierung* // Lift // BARRIEREFREI // neue Küche // PKW-Abstellplätze verfügbar;RIWOG Real Estate Management GmbH;1030 Wien, 03. Bezirk, Landstraße;70;2 Zimmer;2 Zimmer;1072,85;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/2-zimmer-neubau-wohnung-erstbezug-nach-sanierung-lift-barrierefrei-neue-kueche-pkw-abstellplaetze-verfuegbar-635072080/;16,3905024;48,1881739;31.01.23 02:41
optimale 2 Zimmerwohnung in Toplage mit Balkon;EXPAT CONSULTING Real Estate & Relocation Services GmbH;1030 Wien, 03. Bezirk, Landstraße;41;2 Zimmer;Balkon;849;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/optimale-2-zimmerwohnung-in-toplage-mit-balkon-637399204/;16,3905024;48,1881739;01.02.23 02:41
HIMMELSTÜRMER aufgepasst: Wohnen im 30.Stock /// der HELIO TOWER!;Spiegelfeld Immobilien GmbH;1030 Wien, 03. Bezirk, Landstraße;50;2 Zimmer;Balkon, Loggia;1112,08;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/himmelstuermer-aufgepasst-wohnen-im-30-stock-der-helio-tower-627186008/;16,3905024;48,1881739;02.02.23 02:41
29.OG: HOCH HINAUS im HELIO TOWER I 2-Zimmer-Wohnung;Spiegelfeld Immobilien GmbH;1030 Wien, 03. Bezirk, Landstraße;50;2 Zimmer;Balkon, Loggia;1082,09;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/29-og-hoch-hinaus-im-helio-tower-i-2-zimmer-wohnung-627186017/;16,3905024;48,1881739;03.02.23 02:41
*NEU* Sanierte 2 Zimmer-Wohnung // Lift // BARRIEREFREI // neue Küche // PKW-Abstellplätze verfügbar;RIWOG Real Estate Management GmbH;1030 Wien, 03. Bezirk, Landstraße;68;2 Zimmer;2 Zimmer;1064,44;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/-neu-sanierte-2-zimmer-wohnung-lift-barrierefrei-neue-kueche-pkw-abstellplaetze-verfuegbar-635030547/;16,3905024;48,1881739;04.02.23 02:41
'Traumhafte Mietwohnungen in einem der atemberaubendsten Gebäuden Wiens ** ALL-INCLUSIVE-MIETE** **PROVISIONSFREI!!**';Real Immo Wien;1030 Wien, 03. Bezirk, Landstraße;26;1 Zimmer;Balkon, Dachterrasse;889,07;/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/traumhafte-mietwohnungen-in-einem-der-atemberaubendsten-gebaeuden-wiens-all-inclusive-miete-provisionsfrei-637353853/;16,3905024;48,1881739;05.02.23 02:41
